10.2 Monthly Average Wholesale Price- 2018,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,(Per Quintal/Taka),Sl no,Name of Comodity,Year-2018,241,",,",Khesari,"2,979","3,060","3,080","3,077","3,069","3,170","3,151","3,098","3,042","3,105","3,100","3,094",SL:,Name of crops,2012-2013,2013-14,2014-15,2015-16,2016-17,2017-18
(Per Quintal/Taka),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"8,651",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spices,Ginger Import,"7,170","6,778","6,849","6,972","8,390","8,072","8,359","8,922","9,891","10,528","10,294","8,764",,69,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"8,416",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,","Turmaric
Round","13,403","13,121","13,159","13,207","13,586","13,347","13,371","13,186","13,134","13,486","13,283","13,090",,70,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"13,281",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",",, Long","13,303","13,272","13,011","12,906","12,848","12,861","12,844","12,973","13,053","12,880","12,874","12,670",,71,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"12,958",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Coriandder old,"7,605","7,701","7,913","7,906","9,158","8,520","9,443","9,495","9,619","9,586","9,651","9,506",,72,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"8,842",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",",, new","7,975","8,167","7,510","7,754","8,742","8,145","8,891","8,891","8,740","8,138","7,350","7,638",,73,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"8,162",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jute,"White/Tosa
Top","3,600","3,600","3,600","3,600","3,600","3,600","3,600","4,546","4,472","3,417","3,500","3,500",,74,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"3,720",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Middle,-,-,-,-,-,-,-,"4,900","4,456","4,250","4,250","4,249",,75,,,,,,,,,,,,,,,,,,,,,,,,,,
